Unit:(mV)
                     CH1         CH2
Frequency              ?  72.935 kHz
00485              -6.00      400.00
00486              -2.00      400.00
00487              -6.00      400.00
00488               2.00      440.00
00489              -2.00      440.00
00490              -6.00      440.00
00491               6.00      440.00
00492              -6.00      440.00
00493              -2.00      480.00
00494              -6.00      480.00
00495               2.00      520.00
00496              -6.00      480.00
00497               2.00      520.00
00498              -2.00      520.00
00499              -6.00      520.00
00500               4.00      560.00
00501              -4.00      560.00
00502              -2.00      560.00
00503              -2.00      560.00
00504              -4.00      600.00
00505               2.00      600.00
00506              -2.00      600.00
00507              -2.00      600.00
00508              -4.00      600.00
00509              -6.00      600.00
00510              -4.00      640.00
00511               4.00      640.00
00512             -10.00      640.00
00513              -2.00      640.00
00514               2.00      640.00
00515              -6.00      640.00
00516               2.00      680.00
00517              -4.00      720.00
00518              -2.00      680.00
00519              -2.00      720.00
00520               6.00      720.00
00521              -6.00      720.00
00522              -4.00      720.00
00523               2.00      720.00
00524              -4.00      720.00
00525              -2.00      720.00
00526               0.00      760.00
00527              -6.00      760.00
00528               2.00      760.00
00529               2.00      800.00
00530              -6.00      800.00
00531               4.00      760.00
00532              -6.00      800.00
00533              -6.00      800.00
00534               6.00      800.00
00535             -10.00      800.00
00536              -4.00      840.00
00537              -2.00      840.00
00538              -6.00      840.00
00539              -2.00      840.00
00540              -6.00      880.00
00541              -4.00      880.00
00542              -2.00      840.00
00543              -4.00      880.00
00544               2.00      880.00
00545              -2.00      880.00
00546              -6.00      880.00
00547               4.00      880.00
00548              -4.00      920.00
00549              -2.00      920.00
00550               2.00      920.00
00551              -4.00      920.00
00552               0.00      920.00
00553              -2.00      920.00
00554              -4.00      960.00
00555               4.00      960.00
00556              -2.00      960.00
00557               0.00      960.00
00558               2.00      960.00
00559              -4.00      960.00
00560               2.00      960.00
00561              -2.00     1000.00
00562              -2.00      960.00
00563              -2.00      960.00
00564              -4.00      960.00
00565              -2.00     1040.00
00566               0.00     1000.00
00567              -4.00      960.00
00568               0.00     1000.00
00569              -4.00     1040.00
00570              -2.00     1000.00
00571              -4.00     1040.00
00572               2.00     1040.00
00573              -6.00     1000.00
00574              -4.00     1080.00
00575              -2.00     1080.00
00576              -2.00     1040.00
00577              -2.00     1040.00
00578               0.00     1080.00
00579              -4.00     1080.00
00580              -4.00     1080.00
00581              -4.00     1080.00
